,TCGA_id,Gene,Cell,Correlation
1050,KICH,IGHV3-60,T cell CD4+ memory activated,0.5120143040914759
1051,KICH,IGLV2-5,T cell CD4+ memory activated,0.5120143040914759
1052,KICH,IGHV1-18,T cell CD4+ memory resting,0.5061764970734531
1053,KICH,IGLV3-16,T cell CD8+,0.5060597339961646
1054,KICH,IGHV3-11,Macrophage M2,0.5059724963583602
1055,KICH,IGHV1-3,T cell CD8+,0.5052866599475602
1056,KICH,IGHV1-46,Macrophage M2,0.5048425914371226
1057,KICH,IGKV2-18,Macrophage M1,0.5025312609769041
1058,KICH,IGHV4-28,T cell CD4+ memory resting,0.5022402581652144
1059,KICH,IGHJ5,NK cell activated,0.5001022123115445
1060,UCS,TRBV10-1,Myeloid dendritic cell resting,0.6921595467088922
1061,UCS,IGHV3-65,T cell gamma delta,0.6889249439734568
1062,UCS,TRBV12-4,Neutrophil,0.5849379135730424
1063,UCS,IGHV1-58,T cell CD4+ memory activated,0.5814673139174956
1064,UCS,TRBV5-1,Macrophage M1,0.5737076372002546
1065,UCS,TRBV24-1,Myeloid dendritic cell resting,0.5705896897530199
1066,UCS,TRAJ53,Myeloid dendritic cell resting,0.5591901097936304
1067,UCS,TRAJ28,Myeloid dendritic cell resting,0.5591901097936304
1068,UCS,TRAV13-1,Myeloid dendritic cell resting,0.5532102816341246
1069,UCS,IGHV3-22,Myeloid dendritic cell resting,0.5479940937620869
1070,UCS,IGHV3-13,T cell CD4+ memory activated,0.541513049311015
1071,UCS,TRBV20-1,T cell CD8+,0.5340063200305001
1072,UCS,IGLVI-70,Myeloid dendritic cell resting,0.5320997619059614
1073,UCS,TRBV5-1,T cell CD8+,0.5244669091969524
1074,UCS,TRBV7-9,T cell CD8+,0.5218577274447607
1075,UCS,IGKV2-18,T cell CD8+,0.519300820199091
1076,UCS,TRBV20-1,Macrophage M1,0.5173428417580952
1077,UCS,TRAV2,Myeloid dendritic cell resting,0.5168810999689735
1078,UCS,TRBV7-6,T cell CD4+ memory activated,0.5140378151895441
1079,UCS,TRAJ46,Myeloid dendritic cell resting,0.5140378151895441
1080,UCS,TRBV7-6,Myeloid dendritic cell resting,0.5140378151895441
1081,UCS,TRBV12-2,T cell CD4+ memory activated,0.5140378151895441
1082,UCS,TRBV12-2,Myeloid dendritic cell resting,0.5140378151895441
1083,UCS,TRAJ46,T cell CD4+ memory activated,0.5140378151895441
1084,UCS,IGLV2-18,T cell CD8+,0.5110750278710625
1085,UCS,IGLV5-48,T cell CD4+ memory activated,0.5092717690004793
1086,UCS,IGKV6-21,Neutrophil,0.5074874530546317
1087,UCS,TRBV7-9,Macrophage M2,0.5067931181769071
1088,UCS,TRAV22,Macrophage M1,0.5064395093265608
1089,UCS,IGHV1-46,Neutrophil,0.5061876121959975
1090,UCS,IGHV3-30,T cell CD8+,0.5057155076817551
1091,UCS,IGHV4-34,Neutrophil,0.5057121558212317
1092,UCS,TRAV13-1,T cell CD4+ memory resting,0.5048746346011568
1093,UCS,TRAV19,NK cell activated,0.5017062181564622
1094,UCS,TRBV15,B cell memory,0.5015567725829229
1095,UCS,TRAV14DV4,T cell CD4+ memory activated,0.5015240865598309
1096,UCS,TRBV7-2,Myeloid dendritic cell resting,0.5013857350876766
1097,UCS,TRAV13-1,Macrophage M1,0.5000343924469298
1098,ACC,TRBV5-6,T cell CD4+ memory activated,0.7179003934510548
1099,ACC,TRBJ1-2,T cell CD8+,0.640328650950624
1100,ACC,TRBJ1-2,Macrophage M1,0.6397703469084645
1101,ACC,TRBJ2-5,T cell gamma delta,0.6327591443409306
1102,ACC,IGLV2-11,Macrophage M2,0.6086034269659826
1103,ACC,IGKV2-30,Macrophage M2,0.5895026456489799
1104,ACC,IGKV1-17,T cell CD8+,0.5878352969962796
1105,ACC,IGHJ5,Macrophage M2,0.5794516943825717
1106,ACC,TRBJ2-2,Myeloid dendritic cell resting,0.5686156302405666
1107,ACC,IGLV1-47,Macrophage M1,0.5651441372324177
1108,ACC,IGKV1-33,Macrophage M2,0.5647468879012982
1109,ACC,TRBV27,T cell gamma delta,0.5640573788807983
1110,ACC,IGKV2-30,Macrophage M1,0.562071896885939
1111,ACC,TRAJ20,T cell gamma delta,0.5576472300355108
1112,ACC,IGKJ3,Macrophage M1,0.5569022191821816
1113,ACC,TRBJ1-1,Macrophage M2,0.555366381833957
1114,ACC,IGKV2-26,T cell CD4+ memory activated,0.553865480816327
1115,ACC,IGHV3-33,Macrophage M1,0.5530445095712062
1116,ACC,TRBJ2-7,T cell CD8+,0.5527376716900064
1117,ACC,TRBJ2-2,T cell CD8+,0.5526455739704037
1118,ACC,IGKV1-17,Macrophage M1,0.5498013308208018
1119,ACC,TRBV6-5,Macrophage M2,0.549688806006954
1120,ACC,IGHJ3,Macrophage M1,0.549163248582846
1121,ACC,IGKV1-17,Macrophage M2,0.5485224968674589
1122,ACC,IGKV3-15,Macrophage M2,0.5458690806928542
1123,ACC,IGLV1-40,Macrophage M1,0.5447217402484519
1124,ACC,IGKJ3,T cell CD8+,0.5382330141744803
1125,ACC,IGKV1-33,Macrophage M1,0.5360812885198646
1126,ACC,TRBV6-5,T cell CD8+,0.5334012915917407
1127,ACC,TRBJ2-3,T cell CD8+,0.5305039402024816
1128,ACC,IGHV3-43,T cell gamma delta,0.5301567714801131
1129,ACC,TRBJ2-3,T cell gamma delta,0.5277626565051714
1130,ACC,IGKV2-24,Macrophage M1,0.5270859545014213
1131,ACC,TRBJ2-5,T cell CD8+,0.5238345407306016
1132,ACC,IGLV3-21,Macrophage M2,0.5226204402159509
1133,ACC,IGHJ5,T cell CD8+,0.5214567615352529
1134,ACC,TRAJ36,Myeloid dendritic cell resting,0.5206336051353813
1135,ACC,IGKV1-9,Macrophage M2,0.5202642545361558
1136,ACC,TRBJ2-5,T cell follicular helper,0.5201711584467245
1137,ACC,IGKJ3,Macrophage M2,0.516589415932221
1138,ACC,IGHV1-18,Macrophage M1,0.5161751616802279
1139,ACC,IGHJ4,T cell CD8+,0.5145991571321663
1140,ACC,TRBJ2-2,Macrophage M2,0.5144163749677403
1141,ACC,IGKV2-30,T cell CD8+,0.5138565281822499
1142,ACC,IGHV3-33,Macrophage M2,0.5137048036235256
1143,ACC,TRBV2,Myeloid dendritic cell resting,0.513485770918873
1144,ACC,TRAV39,T cell CD4+ memory activated,0.5114634774680591
1145,ACC,TRBV27,T cell CD8+,0.5112486606359479
1146,ACC,TRAJ20,T cell CD8+,0.5106642547483615
1147,ACC,IGHJ3,Macrophage M2,0.5093704320450587
1148,ACC,IGLV1-47,T cell CD8+,0.5090305955598885
1149,ACC,IGHV3-33,T cell CD8+,0.5085900427305798
1150,ACC,IGLV1-40,Macrophage M2,0.5061646258739577
1151,ACC,IGLV2-5,Myeloid dendritic cell resting,0.5032961491367496
1152,ACC,IGLV7-43,T cell CD8+,0.5026821395070195
1153,ACC,IGLV3-1,T cell follicular helper,0.501741464020045
1154,ACC,IGHJ4,Macrophage M2,0.5011558389815383
1155,PCPG,IGHJ2,Macrophage M2,0.5315785941398735
1156,PCPG,IGHV1-18,Macrophage M2,0.5181994798577139
1157,PCPG,IGHV1-69,Macrophage M2,0.5171663082857014
1158,PCPG,IGHV1-17,T cell CD4+ memory activated,0.5043498467896415
1159,PCPG,IGHV3-75,T cell CD4+ memory activated,0.5043498467896415
1160,PCPG,IGHJ3P,T cell CD4+ memory activated,0.5043498467896415
1161,UVM,TRBJ2-7,Macrophage M2,0.6792377844976061
1162,UVM,TRBJ1-1,T cell CD8+,0.6601918716024087
1163,UVM,TRBJ2-2,T cell CD8+,0.647950725526152
1164,UVM,TRAJ22,Mast cell resting,0.6426069947939301
1165,UVM,TRAV5,Mast cell resting,0.6372446750292995
1166,UVM,TRBV20-1,T cell CD8+,0.6367931938797416
1167,UVM,TRBV20-1,Macrophage M1,0.621796936791962
1168,UVM,TRBJ2-2,T cell follicular helper,0.6213288785617488
1169,UVM,IGKV3-15,Macrophage M1,0.6208101840378715
1170,UVM,TRAJ50,Mast cell resting,0.6188389809400947
1171,UVM,TRBV20-1,NK cell activated,0.6151417601203082
1172,UVM,TRBV27,T cell CD8+,0.6121710774291145
1173,UVM,TRGV6,Mast cell resting,0.6097526607422664
1174,UVM,TRBV23-1,Mast cell resting,0.6097526607422664
1175,UVM,TRBV19,T cell CD8+,0.6090389690323645
1176,UVM,IGLV6-57,Macrophage M1,0.6076089263695235
1177,UVM,TRBJ2-2,NK cell activated,0.6033270424366416
1178,UVM,TRBJ1-1,Macrophage M1,0.6020776664002851
1179,UVM,TRAV8-1,Mast cell resting,0.600424038672496
1180,UVM,TRAV26-1,Mast cell resting,0.5997111352112858
1181,UVM,TRBJ2-7,T cell CD8+,0.5948881472518116
1182,UVM,TRBV5-1,NK cell activated,0.5942602094942393
1183,UVM,IGHV5-51,Macrophage M1,0.5929517986414162
1184,UVM,TRBJ2-1,T cell follicular helper,0.5909803834280274
1185,UVM,TRBJ2-3,NK cell activated,0.590075329078775
1186,UVM,TRBV19,NK cell activated,0.5899739646452252
1187,UVM,TRBJ2-1,T cell CD8+,0.5892474716824394
1188,UVM,TRBV19,Macrophage M1,0.5821671863220367
1189,UVM,TRGV10,Mast cell resting,0.5751995124647035
1190,UVM,TRBJ1-1,NK cell activated,0.5642725918615733
1191,UVM,TRBV27,NK cell activated,0.5617072070226037
1192,UVM,TRBJ2-2,Macrophage M1,0.5615683775089292
1193,UVM,TRBJ2-7,T cell follicular helper,0.5595879989151494
1194,UVM,TRBV9,NK cell activated,0.5587711581556757
1195,UVM,TRBV12-4,T cell CD8+,0.5570503813595362
1196,UVM,TRBJ2-3,T cell CD8+,0.5567056352306565
1197,UVM,TRBJ1-1,Macrophage M2,0.5546967021926571
1198,UVM,TRAV27,Mast cell resting,0.5524442706296441
1199,UVM,TRAJ20,Macrophage M1,0.5516047334815668
1200,UVM,TRBV12-4,NK cell activated,0.5509159090918415
1201,UVM,TRBV12-4,T cell follicular helper,0.5505504856861847
1202,UVM,TRBV4-3,T cell gamma delta,0.5493390863816943
1203,UVM,TRBV19,Macrophage M2,0.5486701092766103
1204,UVM,TRAJ9,T cell CD8+,0.544377696901811
1205,UVM,TRBV19,T cell follicular helper,0.5419263136848746
1206,UVM,TRBV5-1,T cell CD8+,0.5399902796515675
1207,UVM,TRAJ48,Macrophage M1,0.5399201149245014
1208,UVM,TRBV6-5,Macrophage M2,0.5375950954931082
1209,UVM,TRAV1-2,Mast cell resting,0.534431004757248
1210,UVM,TRAV3,T cell CD8+,0.5338110302140356
1211,UVM,TRBV9,Macrophage M1,0.5325382002049746
1212,UVM,TRBV9,T cell CD8+,0.5303090880720787
